Ano,Localização,Rede,R_EF_Total,R1EF,R2EF,R3EF,4REF,R5EF,R6EF,R7EF,R8EF,R9EF,RTotal - EM,R1EM,R2EM,R3EM,R4EM,RNão-Seriado
2013,Total,Privada,3.3,2.1,1.9,1.9,1.9,2,4.7,5.6,5.2,5.2,5.7,9.3,4.9,2.2,3.1,5.2
2012,Total,Pública,10.1,1.8,5.7,12.6,8.9,8.4,15.9,13.6,10.7,10.1,13.1,17.7,12,7.5,4.9,7.9
2012,Total,Privada,3.5,2.1,2,1.9,1.9,2.1,5,5.7,5.5,5.5,6.1,9.7,5.3,2.6,1.3,2.8
2011,Total,Pública,10.5,2.1,7.5,12.8,8.4,8.6,16.6,13.6,11.5,11,14,19,12.7,8.2,4.3,10.7
2011,Total,Privada,3.5,2,2.1,1.9,1.9,2.2,4.9,5.6,5.4,5.3,6.1,9.6,5.3,2.6,2.4,4.6
2010,Total,Privada,3.4,2.1,2.2,2,1.9,2.1,4.8,5.5,5.3,5.2,5.9,9.4,5.3,2.4,1.6,5.2
2010,Total,Pública,11.2,2.6,10.3,13.4,9.1,9.1,16.4,14.1,11.6,11.1,13.4,18.1,11.9,7.8,5.1,9.3
2009,Total,Privada,3.4,2.1,2.3,2,1.9,2.2,4.6,5.5,5.2,5.4,6.2,9.9,5.5,2.7,2.2,5
2009,Total,Pública,12.1,3.2,12.1,14.1,9.6,9.6,17.8,14.6,12.3,11.9,13.5,18.1,12.1,8.2,3.5,9.7
2008,Total,Privada,1.8,2.3,1.9,1.8,2.1,4.5,5.3,5.1,5.4,3.3,9.4,5.4,2.7,1.4,6.9,6
2008,Total,Pública,3.7,13.8,14.9,9.9,10.1,18.2,15.2,12.5,12.5,12.8,17.1,11.9,8.6,3.8,10.7,13.1
2007,Total,Privada,2,2.3,1.9,1.7,2,4.1,4.9,4.8,4.8,3.1,8.9,4.9,2.5,1.8,4.9,5.6
2007,Total,Pública,4.2,15,15,10.4,10.6,17.6,14.4,12,12.5,13,17.1,12.1,9.6,3.8,11.8,13.5
