#ANO;ESTADO;MUNICIPIO;ESFERA_GOVERNO;MODALIDADE_ENSINO;VALOR_TOTAL_ESCOLAS_PNAE
"2012";"AC";"PORTO WALTER";"MUNICIPAL";"ENSINO FUNDAMENTAL";123300,00
"2012";"AC";"PORTO WALTER";"MUNICIPAL";"PRÉ-ESCOLA";26544,00
"2012";"AC";"RIO BRANCO";"ESTADUAL";"CRECHE";25032,00
"2012";"AC";"RIO BRANCO";"ESTADUAL";"EJA";1061820,00
"2012";"AC";"RIO BRANCO";"ESTADUAL";"ENSINO FUNDAMENTAL";5484240,00
"2012";"AC";"RIO BRANCO";"ESTADUAL";"ENSINO MÉDIO";2095680,00
"2012";"AC";"RIO BRANCO";"ESTADUAL";"INDÍGENA";490920,00
"2012";"AC";"RIO BRANCO";"ESTADUAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";1462200,00
"2012";"AC";"RIO BRANCO";"ESTADUAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - INDÍGENA";16920,00
"2012";"AC";"RIO BRANCO";"ESTADUAL";"PRÉ-ESCOLA";181692,00
"2012";"AC";"RIO BRANCO";"MUNICIPAL";"CRECHE";171864,00
"2012";"AC";"RIO BRANCO";"MUNICIPAL";"EJA";38160,00
"2012";"AC";"RIO BRANCO";"MUNICIPAL";"ENSINO FUNDAMENTAL";510540,00
"2012";"AC";"RIO BRANCO";"MUNICIPAL";"ENSINO MÉDIO";7800,00
"2012";"AC";"RIO BRANCO";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";111000,00
"2012";"AC";"RIO BRANCO";"MUNICIPAL";"PRÉ-ESCOLA";734832,00
"2012";"AC";"RODRIGUES ALVES";"MUNICIPAL";"CRECHE";31416,00
"2012";"AC";"RODRIGUES ALVES";"MUNICIPAL";"EJA";1920,00
"2012";"AC";"RODRIGUES ALVES";"MUNICIPAL";"ENSINO FUNDAMENTAL";136320,00
"2012";"AC";"RODRIGUES ALVES";"MUNICIPAL";"PRÉ-ESCOLA";52668,00
"2012";"AC";"SANTA ROSA DO PURUS";"MUNICIPAL";"CRECHE";15960,00
"2012";"AC";"SANTA ROSA DO PURUS";"MUNICIPAL";"EJA";7440,00
"2012";"AC";"SANTA ROSA DO PURUS";"MUNICIPAL";"ENSINO FUNDAMENTAL";39300,00
"2012";"AC";"SANTA ROSA DO PURUS";"MUNICIPAL";"ENSINO MÉDIO";12060,00
"2012";"AC";"SANTA ROSA DO PURUS";"MUNICIPAL";"INDÍGENA";159720,00
"2012";"AC";"SANTA ROSA DO PURUS";"MUNICIPAL";"PRÉ-ESCOLA";12180,00
"2012";"AC";"SENA MADUREIRA";"MUNICIPAL";"EJA";13380,00
"2012";"AC";"SENA MADUREIRA";"MUNICIPAL";"ENSINO FUNDAMENTAL";295140,00
"2012";"AC";"SENA MADUREIRA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";148320,00
"2012";"AC";"SENA MADUREIRA";"MUNICIPAL";"PRÉ-ESCOLA";71904,00
"2012";"AC";"SENADOR GUIOMARD";"MUNICIPAL";"EJA";21360,00
"2012";"AC";"SENADOR GUIOMARD";"MUNICIPAL";"ENSINO FUNDAMENTAL";130320,00
"2012";"AC";"SENADOR GUIOMARD";"MUNICIPAL";"PRÉ-ESCOLA";53844,00
"2012";"AC";"TARAUACA";"MUNICIPAL";"CRECHE";27720,00
"2012";"AC";"TARAUACA";"MUNICIPAL";"EJA";12120,00
"2012";"AC";"TARAUACA";"MUNICIPAL";"ENSINO FUNDAMENTAL";317640,00
