#ANO;ESTADO;MUNICIPIO;ESFERA_GOVERNO;MODALIDADE_ENSINO;VALOR_TOTAL_ESCOLAS_PNAE
"2013";"AC";"ACRELANDIA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";3100,00
"2013";"AC";"ACRELANDIA";"MUNICIPAL";"CRECHE";43600,00
"2013";"AC";"ACRELANDIA";"MUNICIPAL";"EJA";4740,00
"2013";"AC";"ACRELANDIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";108540,00
"2013";"AC";"ACRELANDIA";"MUNICIPAL";"PRÉ-ESCOLA";42200,00
"2013";"AC";"ASSIS BRASIL";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";300,00
"2013";"AC";"ASSIS BRASIL";"MUNICIPAL";"CRECHE";7140,00
"2013";"AC";"ASSIS BRASIL";"MUNICIPAL";"EJA";1440,00
"2013";"AC";"ASSIS BRASIL";"MUNICIPAL";"ENSINO FUNDAMENTAL";18702,00
"2013";"AC";"ASSIS BRASIL";"MUNICIPAL";"PRÉ-ESCOLA";7800,00
"2013";"AC";"BRASILEIA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";8730,00
"2013";"AC";"BRASILEIA";"MUNICIPAL";"CRECHE";39960,00
"2013";"AC";"BRASILEIA";"MUNICIPAL";"EJA";44766,00
"2013";"AC";"BRASILEIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";242838,00
"2013";"AC";"BRASILEIA";"MUNICIPAL";"ENSINO MÉDIO";58374,00
"2013";"AC";"BRASILEIA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";5760,00
"2013";"AC";"BRASILEIA";"MUNICIPAL";"PRÉ-ESCOLA";68850,00
"2013";"AC";"BUJARI";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";750,00
"2013";"AC";"BUJARI";"MUNICIPAL";"CRECHE";13700,00
"2013";"AC";"BUJARI";"MUNICIPAL";"EJA";1950,00
"2013";"AC";"BUJARI";"MUNICIPAL";"ENSINO FUNDAMENTAL";30390,00
"2013";"AC";"BUJARI";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";20592,00
"2013";"AC";"BUJARI";"MUNICIPAL";"PRÉ-ESCOLA";15950,00
"2013";"AC";"CAPIXABA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";1540,00
"2013";"AC";"CAPIXABA";"MUNICIPAL";"EJA";2898,00
"2013";"AC";"CAPIXABA";"MUNICIPAL";"ENSINO FUNDAMENTAL";69846,00
"2013";"AC";"CAPIXABA";"MUNICIPAL";"PRÉ-ESCOLA";18200,00
"2013";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";39000,00
"2013";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"CRECHE";256600,00
"2013";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"EJA";35940,00
"2013";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"ENSINO FUNDAMENTAL";361620,00
"2013";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";108000,00
"2013";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"PRÉ-ESCOLA";136500,00
"2013";"AC";"EPITACIOLANDIA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";2200,00
"2013";"AC";"EPITACIOLANDIA";"MUNICIPAL";"CRECHE";41000,00
"2013";"AC";"EPITACIOLANDIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";98040,00
"2013";"AC";"EPITACIOLANDIA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";22680,00
"2013";"AC";"EPITACIOLANDIA";"MUNICIPAL";"PRÉ-ESCOLA";41800,00
"2013";"AC";"FEIJO";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";2600,00
"2013";"AC";"FEIJO";"MUNICIPAL";"EJA";22200,00
"2013";"AC";"FEIJO";"MUNICIPAL";"ENSINO FUNDAMENTAL";205260,00
"2013";"AC";"FEIJO";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";63936,00
"2013";"AC";"FEIJO";"MUNICIPAL";"PRÉ-ESCOLA";105000,00
"2013";"AC";"JORDAO";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";3200,00
"2013";"AC";"JORDAO";"MUNICIPAL";"CRECHE";33200,00
"2013";"AC";"JORDAO";"MUNICIPAL";"EJA";14700,00
"2013";"AC";"JORDAO";"MUNICIPAL";"ENSINO FUNDAMENTAL";105840,00
"2013";"AC";"JORDAO";"MUNICIPAL";"ENSINO MÉDIO";15540,00
"2013";"AC";"JORDAO";"MUNICIPAL";"INDÍGENA";109560,00
"2013";"AC";"JORDAO";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";27648,00
"2013";"AC";"JORDAO";"MUNICIPAL";"PRÉ-ESCOLA";23300,00
"2013";"AC";"MANCIO LIMA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";3500,00
"2013";"AC";"MANCIO LIMA";"MUNICIPAL";"CRECHE";75000,00
"2013";"AC";"MANCIO LIMA";"MUNICIPAL";"EJA";18240,00
"2013";"AC";"MANCIO LIMA";"MUNICIPAL";"ENSINO FUNDAMENTAL";131760,00
"2013";"AC";"MANCIO LIMA";"MUNICIPAL";"INDÍGENA";9720,00
"2013";"AC";"MANCIO LIMA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";5760,00
"2013";"AC";"MANCIO LIMA";"MUNICIPAL";"PRÉ-ESCOLA";66500,00
"2013";"AC";"MANOEL URBANO";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";2500,00
"2013";"AC";"MANOEL URBANO";"MUNICIPAL";"CRECHE";51200,00
"2013";"AC";"MANOEL URBANO";"MUNICIPAL";"EJA";8040,00
"2013";"AC";"MANOEL URBANO";"MUNICIPAL";"ENSINO FUNDAMENTAL";78420,00
"2013";"AC";"MANOEL URBANO";"MUNICIPAL";"PRÉ-ESCOLA";30500,00
"2013";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"CRECHE";15600,00
"2013";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"EJA";38760,00
"2013";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"ENSINO FUNDAMENTAL";254040,00
"2013";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"ENSINO MÉDIO";51240,00
"2013";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"INDÍGENA";80400,00
"2013";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"PRÉ-ESCOLA";70900,00
"2013";"AC";"PLACIDO DE CASTRO";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";7900,00
"2013";"AC";"PLACIDO DE CASTRO";"MUNICIPAL";"EJA";11100,00
"2013";"AC";"PLACIDO DE CASTRO";"MUNICIPAL";"ENSINO FUNDAMENTAL";100680,00
"2013";"AC";"PLACIDO DE CASTRO";"MUNICIPAL";"PRÉ-ESCOLA";59700,00
"2013";"AC";"PORTO ACRE";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";1500,00
"2013";"AC";"PORTO ACRE";"MUNICIPAL";"ENSINO FUNDAMENTAL";82860,00
"2013";"AC";"PORTO ACRE";"MUNICIPAL";"PRÉ-ESCOLA";50600,00
"2013";"AC";"PORTO WALTER";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";2700,00
"2013";"AC";"PORTO WALTER";"MUNICIPAL";"CRECHE";16600,00
"2013";"AC";"PORTO WALTER";"MUNICIPAL";"EJA";5760,00
"2013";"AC";"PORTO WALTER";"MUNICIPAL";"ENSINO FUNDAMENTAL";130860,00
"2013";"AC";"PORTO WALTER";"MUNICIPAL";"PRÉ-ESCOLA";24600,00
"2013";"AC";"RIO BRANCO";"ESTADUAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";219620,00
"2013";"AC";"RIO BRANCO";"ESTADUAL";"CRECHE";31200,00
"2013";"AC";"RIO BRANCO";"ESTADUAL";"EJA";1269396,00
"2013";"AC";"RIO BRANCO";"ESTADUAL";"ENSINO FUNDAMENTAL";5363740,00
"2013";"AC";"RIO BRANCO";"ESTADUAL";"ENSINO MÉDIO";2158180,00
"2013";"AC";"RIO BRANCO";"ESTADUAL";"INDÍGENA";504840,00
"2013";"AC";"RIO BRANCO";"ESTADUAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";1865592,00
"2013";"AC";"RIO BRANCO";"ESTADUAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - INDÍGENA";30456,00
"2013";"AC";"RIO BRANCO";"ESTADUAL";"PRÉ-ESCOLA";229100,00
"2013";"AC";"RIO BRANCO";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";24500,00
"2013";"AC";"RIO BRANCO";"MUNICIPAL";"CRECHE";276600,00
"2013";"AC";"RIO BRANCO";"MUNICIPAL";"EJA";37560,00
"2013";"AC";"RIO BRANCO";"MUNICIPAL";"ENSINO FUNDAMENTAL";542020,00
"2013";"AC";"RIO BRANCO";"MUNICIPAL";"ENSINO MÉDIO";2808,00
"2013";"AC";"RIO BRANCO";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";142128,00
"2013";"AC";"RIO BRANCO";"MUNICIPAL";"PRÉ-ESCOLA";846300,00
"2013";"AC";"RODRIGUES ALVES";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";3800,00
"2013";"AC";"RODRIGUES ALVES";"MUNICIPAL";"CRECHE";48800,00
"2013";"AC";"RODRIGUES ALVES";"MUNICIPAL";"ENSINO FUNDAMENTAL";129180,00
"2013";"AC";"RODRIGUES ALVES";"MUNICIPAL";"PRÉ-ESCOLA";61342,00
"2013";"AC";"SANTA ROSA DO PURUS";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";1700,00
"2013";"AC";"SANTA ROSA DO PURUS";"MUNICIPAL";"CRECHE";13800,00
"2013";"AC";"SANTA ROSA DO PURUS";"MUNICIPAL";"EJA";6420,00
"2013";"AC";"SANTA ROSA DO PURUS";"MUNICIPAL";"ENSINO FUNDAMENTAL";41640,00
"2013";"AC";"SANTA ROSA DO PURUS";"MUNICIPAL";"ENSINO MÉDIO";10260,00
"2013";"AC";"SANTA ROSA DO PURUS";"MUNICIPAL";"INDÍGENA";163200,00
"2013";"AC";"SANTA ROSA DO PURUS";"MUNICIPAL";"PRÉ-ESCOLA";14500,00
