#ANO;ESTADO;MUNICIPIO;ESFERA_GOVERNO;MODALIDADE_ENSINO;VALOR_TOTAL_ESCOLAS_PNAE
"2018";"AC";"ACRELANDIA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";4346,00
"2018";"AC";"ACRELANDIA";"MUNICIPAL";"CRECHE";63986,00
"2018";"AC";"ACRELANDIA";"MUNICIPAL";"EJA";9024,00
"2018";"AC";"ACRELANDIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";119752,00
"2018";"AC";"ACRELANDIA";"MUNICIPAL";"PRÉ-ESCOLA";47110,00
"2018";"AC";"ASSIS BRASIL";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";2459,20
"2018";"AC";"ASSIS BRASIL";"MUNICIPAL";"CRECHE";8046,40
"2018";"AC";"ASSIS BRASIL";"MUNICIPAL";"EJA";6195,20
"2018";"AC";"ASSIS BRASIL";"MUNICIPAL";"ENSINO FUNDAMENTAL";62726,40
"2018";"AC";"ASSIS BRASIL";"MUNICIPAL";"PRÉ-ESCOLA";27984,00
"2018";"AC";"BRASILEIA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";7738,00
"2018";"AC";"BRASILEIA";"MUNICIPAL";"CRECHE";75756,00
"2018";"AC";"BRASILEIA";"MUNICIPAL";"EJA";6720,00
"2018";"AC";"BRASILEIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";156240,00
"2018";"AC";"BRASILEIA";"MUNICIPAL";"PRÉ-ESCOLA";91266,00
"2018";"AC";"BUJARI";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";1696,00
"2018";"AC";"BUJARI";"MUNICIPAL";"CRECHE";46010,00
"2018";"AC";"BUJARI";"MUNICIPAL";"ENSINO FUNDAMENTAL";85968,00
"2018";"AC";"BUJARI";"MUNICIPAL";"PRÉ-ESCOLA";27560,00
"2018";"AC";"CAPIXABA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";3243,60
"2018";"AC";"CAPIXABA";"MUNICIPAL";"CRECHE";12519,00
"2018";"AC";"CAPIXABA";"MUNICIPAL";"EJA";22982,40
"2018";"AC";"CAPIXABA";"MUNICIPAL";"ENSINO FUNDAMENTAL";111607,20
"2018";"AC";"CAPIXABA";"MUNICIPAL";"PRÉ-ESCOLA";35584,20
"2018";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";40174,00
"2018";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"CRECHE";337906,00
"2018";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"EJA";4096,00
"2018";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"ENSINO FUNDAMENTAL";704930,00
"2018";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";19880,00
"2018";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"PRÉ-ESCOLA";334112,00
"2018";"AC";"EPITACIOLANDIA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";3604,00
"2018";"AC";"EPITACIOLANDIA";"MUNICIPAL";"CRECHE";53928,00
"2018";"AC";"EPITACIOLANDIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";108288,00
"2018";"AC";"EPITACIOLANDIA";"MUNICIPAL";"PRÉ-ESCOLA";50350,00
"2018";"AC";"FEIJO";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";4770,00
"2018";"AC";"FEIJO";"MUNICIPAL";"EJA";30272,00
"2018";"AC";"FEIJO";"MUNICIPAL";"ENSINO FUNDAMENTAL";291278,00
"2018";"AC";"FEIJO";"MUNICIPAL";"PRÉ-ESCOLA";87132,00
"2018";"AC";"JORDAO";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";2014,00
"2018";"AC";"JORDAO";"MUNICIPAL";"CRECHE";46866,00
"2018";"AC";"JORDAO";"MUNICIPAL";"EJA";1344,00
"2018";"AC";"JORDAO";"MUNICIPAL";"ENSINO FUNDAMENTAL";90144,00
"2018";"AC";"JORDAO";"MUNICIPAL";"INDÍGENA";142688,00
"2018";"AC";"JORDAO";"MUNICIPAL";"PRÉ-ESCOLA";25864,00
