#ANO;ESTADO;MUNICIPIO;ESFERA_GOVERNO;MODALIDADE_ENSINO;VALOR_TOTAL_ESCOLAS_PNAE
"2014";"AC";"ACRELANDIA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";3200,00
"2014";"AC";"ACRELANDIA";"MUNICIPAL";"CRECHE";50200,00
"2014";"AC";"ACRELANDIA";"MUNICIPAL";"EJA";1740,00
"2014";"AC";"ACRELANDIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";107580,00
"2014";"AC";"ACRELANDIA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";42048,00
"2014";"AC";"ACRELANDIA";"MUNICIPAL";"PRÉ-ESCOLA";50200,00
"2014";"AC";"BRASILEIA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";3500,00
"2014";"AC";"BRASILEIA";"MUNICIPAL";"CRECHE";52800,00
"2014";"AC";"BRASILEIA";"MUNICIPAL";"EJA";17160,00
"2014";"AC";"BRASILEIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";152320,00
"2014";"AC";"BRASILEIA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";58560,00
"2014";"AC";"BRASILEIA";"MUNICIPAL";"PRÉ-ESCOLA";76300,00
"2014";"AC";"BUJARI";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";1280,00
"2014";"AC";"BUJARI";"MUNICIPAL";"CRECHE";31360,00
"2014";"AC";"BUJARI";"MUNICIPAL";"EJA";4128,00
"2014";"AC";"BUJARI";"MUNICIPAL";"ENSINO FUNDAMENTAL";63392,00
"2014";"AC";"BUJARI";"MUNICIPAL";"PRÉ-ESCOLA";25520,00
"2014";"AC";"CAPIXABA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";1500,00
"2014";"AC";"CAPIXABA";"MUNICIPAL";"EJA";8400,00
"2014";"AC";"CAPIXABA";"MUNICIPAL";"ENSINO FUNDAMENTAL";100920,00
"2014";"AC";"CAPIXABA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";2880,00
"2014";"AC";"CAPIXABA";"MUNICIPAL";"PRÉ-ESCOLA";28500,00
"2014";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";35460,00
"2014";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"CRECHE";227700,00
"2014";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"EJA";29214,00
"2014";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"ENSINO FUNDAMENTAL";435198,00
"2014";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"ENSINO MÉDIO";4380,00
"2014";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";2400,00
"2014";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"PRÉ-ESCOLA";263160,00
"2014";"AC";"EPITACIOLANDIA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";800,00
"2014";"AC";"EPITACIOLANDIA";"MUNICIPAL";"CRECHE";30560,00
"2014";"AC";"EPITACIOLANDIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";97280,00
"2014";"AC";"EPITACIOLANDIA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";33024,00
"2014";"AC";"EPITACIOLANDIA";"MUNICIPAL";"PRÉ-ESCOLA";37440,00
"2014";"AC";"FEIJO";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";1900,00
"2014";"AC";"FEIJO";"MUNICIPAL";"EJA";21780,00
"2014";"AC";"FEIJO";"MUNICIPAL";"ENSINO FUNDAMENTAL";342660,00
"2014";"AC";"FEIJO";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";7464,00
"2014";"AC";"FEIJO";"MUNICIPAL";"PRÉ-ESCOLA";103100,00
"2014";"AC";"JORDAO";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";3800,00
"2014";"AC";"JORDAO";"MUNICIPAL";"CRECHE";39000,00
"2014";"AC";"JORDAO";"MUNICIPAL";"EJA";15180,00
"2014";"AC";"JORDAO";"MUNICIPAL";"ENSINO FUNDAMENTAL";111420,00
"2014";"AC";"JORDAO";"MUNICIPAL";"ENSINO MÉDIO";17340,00
"2014";"AC";"JORDAO";"MUNICIPAL";"INDÍGENA";106800,00
"2014";"AC";"JORDAO";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";2760,00
"2014";"AC";"JORDAO";"MUNICIPAL";"PRÉ-ESCOLA";16900,00
"2014";"AC";"MANCIO LIMA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";4720,00
"2014";"AC";"MANCIO LIMA";"MUNICIPAL";"CRECHE";55200,00
"2014";"AC";"MANCIO LIMA";"MUNICIPAL";"EJA";12816,00
"2014";"AC";"MANCIO LIMA";"MUNICIPAL";"ENSINO FUNDAMENTAL";117664,00
"2014";"AC";"MANCIO LIMA";"MUNICIPAL";"INDÍGENA";8384,00
"2014";"AC";"MANCIO LIMA";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";4992,00
"2014";"AC";"MANCIO LIMA";"MUNICIPAL";"PRÉ-ESCOLA";53680,00
"2014";"AC";"MANOEL URBANO";"MUNICIPAL";"CRECHE";24200,00
"2014";"AC";"MANOEL URBANO";"MUNICIPAL";"EJA";6240,00
"2014";"AC";"MANOEL URBANO";"MUNICIPAL";"ENSINO FUNDAMENTAL";81180,00
"2014";"AC";"MANOEL URBANO";"MUNICIPAL";"PRÉ-ESCOLA";32900,00
"2014";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"CRECHE";21000,00
"2014";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"EJA";31440,00
"2014";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"ENSINO FUNDAMENTAL";253260,00
"2014";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"ENSINO MÉDIO";53280,00
"2014";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"INDÍGENA";85920,00
"2014";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";75648,00
"2014";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - INDÍGENA";2016,00
"2014";"AC";"MARECHAL THAUMATURGO";"MUNICIPAL";"PRÉ-ESCOLA";77900,00
"2014";"AC";"PLACIDO DE CASTRO";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";7000,00
"2014";"AC";"PLACIDO DE CASTRO";"MUNICIPAL";"EJA";18840,00
"2014";"AC";"PLACIDO DE CASTRO";"MUNICIPAL";"ENSINO FUNDAMENTAL";121440,00
"2014";"AC";"PLACIDO DE CASTRO";"MUNICIPAL";"MAIS EDUCAÇÃO (PARC. COMPLEM.) - FUNDAMENTAL";30720,00
"2014";"AC";"PLACIDO DE CASTRO";"MUNICIPAL";"PRÉ-ESCOLA";67700,00
"2014";"AC";"PORTO ACRE";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";500,00
"2014";"AC";"PORTO ACRE";"MUNICIPAL";"ENSINO FUNDAMENTAL";84780,00
"2014";"AC";"PORTO ACRE";"MUNICIPAL";"PRÉ-ESCOLA";55300,00
"2014";"AC";"PORTO WALTER";"MUNICIPAL";"EJA";7128,00
"2014";"AC";"PORTO WALTER";"MUNICIPAL";"ENSINO FUNDAMENTAL";119772,00
